"","X","Player","Span","Mat","Start","Sub","Pts","Tries","Conv","Pens","Drop","GfM","Won","Lost","Draw","X.","Team"
"1",1,"RH McCaw ","2001-2015",148,141,7,"135",27,0,0,0,0,131,15,2,89.18,"NZ"
"2",2,"AW Jones ","2006-2020",147,134,13,"45",9,0,0,0,0,73,72,2,50.34,"Lions/Wales"
"3",3,"SM Parisse ","2002-2019",142,139,3,"83",16,0,0,1,0,35,106,1,25,"Italy"
"4",4,"BG O'Driscoll ","1999-2014",141,140,1,"250",47,0,0,5,0,82,57,2,58.86,"Ire/Lions"
"5",5,"GM Gregan ","1994-2007",139,133,6,"99",18,0,0,3,0,93,44,2,67.62,"Aust"
"6",6,"GD Jenkins ","2002-2016",134,98,36,"20",4,0,0,0,0,61,70,3,46.64,"Lions/Wales"
"7",7,"KF Mealamu ","2002-2015",132,77,55,"60",12,0,0,0,0,114,16,2,87.12,"NZ"
"8",8,"RJR O'Gara ","2000-2013",130,87,43,"1083",16,176,202,15,0,73,54,3,57.3,"Ire/Lions"
"9",9,"ST Moore ","2005-2017",129,97,32,"40",8,0,0,0,0,73,54,2,57.36,"Aust"
"10",10,"V Matfield ","2001-2015",127,121,6,"35",7,0,0,0,0,79,46,2,62.99,"SA"
"11",11,"KJ Read ","2008-2019",127,120,7,"130",26,0,0,0,0,107,16,4,85.82,"NZ"
"12",12,"RD Best ","2005-2019",124,102,22,"60",12,0,0,0,0,73,48,3,60.08,"Ire"
"13",13,"BG Habana ","2004-2016",124,122,2,"335",67,0,0,0,0,79,42,3,64.91,"SA"
"14",14,"FA Vlaicu ","2006-2020",124,99,25,"992",14,172,191,4,0,77,44,3,63.3,"Rom"
"15",15,"D Kacharava ","2006-2020",122,104,18,"125",25,0,0,0,0,79,40,3,65.98,"Georg"
"16",16,"AP Ashley-Cooper ","2005-2019",121,113,8,"195",39,0,0,0,0,68,50,3,57.43,"Aust"
"17",17,"ML Castrogiovanni ","2002-2016",119,91,28,"60",12,0,0,0,0,30,88,1,25.63,"Italy"
"18",18,"J Leonard ","1990-2004",119,104,15,"5",1,0,0,0,0,89,28,2,75.63,"Eng/Lions"
"19",19,"A Zanni ","2005-2020",119,93,26,"20",4,0,0,0,0,31,87,1,26.47,"Italy"
"20",20,"F Pelous ","1995-2007",118,106,12,"40",8,0,0,0,0,79,38,1,67.37,"Fra"
"21",21,"TD Woodcock ","2002-2015",118,105,13,"50",10,0,0,0,0,102,15,1,86.86,"NZ"
"22",22,"T Mtawarira ","2008-2019",117,102,15,"10",2,0,0,0,0,74,38,5,65.38,"SA"
